,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,submission_id,age,cups,where_drink,brew,brew_other,purchase,purchase_other,favorite,favorite_specify,additions,additions_other,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation
0,0,0,0,0,0,0,0,0,0,gMR29l,18-24 years old,,,,,,,Regular drip coffee,,No - just black,,,,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,BkPN0e,25-34 years old,,,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Iced coffee,,"Sugar or sweetener, No - just black",,,,Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,W5G8jj,25-34 years old,,,Bean-to-cup machine,,,,Regular drip coffee,,No - just black,,,,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,4xWgGr,35-44 years old,,,Coffee brewing machine (e.g. Mr. Coffee),,,,Iced coffee,,"No - just black, Cinnamon",,,,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,QD27Q8,25-34 years old,,,Pour over,,,,Latte,,No - just black,,,,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,V0LPeM,55-64 years old,,,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press",,,,Iced coffee,,Half & half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,6,6,6,6,6,6,6,V0Gaxg,18-24 years old,,"At a cafe, At the office, At home, On the go","Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)",,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other",,Pourover,,No - just black,,,,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,7,7,7,7,7,7,7,AdzRL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,8,8,8,8,8,8,8,LbWda2,25-34 years old,Less than 1,At a cafe,,,,,Regular drip coffee,,No - just black,,,,Light,,,,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,9,9,9,9,9,9,9,EXQLWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,10,10,10,10,10,10,10,2eNLJg,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,11,11,11,11,11,11,11,xpa2K9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,12,12,12,12,12,12,12,12,V00RoJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,13,13,13,13,13,13,13,13,7WWB4A,<18 years old,2,"On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",,"Local cafe, Specialty coffee shop",,Other,cortado,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,,,Full Bodied,Somewhat light,Light,Full caffeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,14,14,14,14,14,14,14,pKL8aB,25-34 years old,1,At the office,,,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,15,15,15,15,15,15,15,Zd694B,<18 years old,3,"At home, At the office, At a cafe","Pour over, Espresso, Instant coffee",,,,Pourover,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,,Bright,Medium,Light,Full caffeine,10.0,1.0,1.0,1.0,a,1.0,1.0,1.0,b,1.0,1.0,1.0,c,1.0,1.0,1.0,d,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,,,,,,,,,,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat
16,16,16,16,16,16,16,16,16,16,QAeYZY,>65 years old,3,"At the office, At a cafe",,,,,Cortado,,No - just black,,,,Fruity,Somewhat strong,Blonde,Full caffeine,7.0,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,Coffee C,Coffee D,Coffee D,,,,,,,,,,,,,,,,,,,
17,17,17,17,17,17,17,17,17,17,QA5JYA,25-34 years old,1,"At home, At the office, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Half and half,"Granulated Sugar, Brown Sugar",Sweet,Somewhat strong,Medium,Full caffeine,6.0,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,Coffee A,Coffee A,Coffee B,I primarily work from home,$40-$60,,,,,,,,,,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
18,18,18,18,18,18,18,18,18,18,Rz5BPj,25-34 years old,2,At a cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,19,19,19,19,19,19,19,19,jyDqva,18-24 years old,2,At the office,,,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer",,Oat milk,,Nutty,Somewhat strong,Nordic,Full caffeine,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,,4.0,4.0,,4.0,4.0,4.0,,,Coffee D,Coffee A,,,,,,,,,,,,,,,,,,,
20,20,20,20,20,20,20,20,20,20,eB7QoJ,18-24 years old,3,At home,Pour over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,21,21,21,21,21,21,21,21,24xzlg,18-24 years old,,At home,Other,Aeropress,,,Pourover,,No - just black,,,,Bright,Somewhat light,Light,Full caffeine,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,22,22,22,22,22,22,22,22,DVvoqX,35-44 years old,,"At the office, On the go, At home",Espresso,,Local cafe,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Oat milk,,Caramalized,Somewhat strong,Medium,Full caffeine,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,23,23,23,23,23,23,23,23,1r2YJQ,25-34 years old,More than 4,"At the office, At home, At a cafe, On the go",Coffee extract (e.g. Cometeer),,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe",,Regular drip coffee,,No - just black,,,,Bold,Very strong,,Full caffeine,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,24,24,24,24,24,24,24,24,24xYOV,45-54 years old,1,At home,Pour over,,,,Regular drip coffee,,No - just black,,,,Fruity,Medium,Light,Full caffeine,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,25,25,25,25,25,25,25,25,AlbYao,18-24 years old,2,"At the office, At home","Pod/capsule machine (e.g. Keurig/Nespresso), French press",,,,Latte,,"Flavor syrup, Milk, dairy alternative, or coffee creamer",,Whole milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,26,26,26,26,26,26,26,26,J2krYz,35-44 years old,1,"At home, At a cafe","Pour over, Espresso",,,,Pourover,,No - just black,,,,Fruity,,Medium,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,27,27,27,27,27,27,27,27,WAp6ak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,28,28,28,28,28,28,28,28,aBr18q,25-34 years old,3,"At home, On the go",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29,29,29,29,29,29,29,42NYWO,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,30,30,30,30,30,30,6dQ08e,25-34 years old,1,"At a cafe, At home, On the go","Espresso, Cold brew, Pour over",,Specialty coffee shop,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Chocolatey,Very strong,Medium,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,31,31,31,31,31,31,31,31,J2kj9J,18-24 years old,2,,"French press, Cold brew",,,,Iced coffee,,No - just black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,32,32,32,32,32,32,32,32,8dpDNA,18-24 years old,3,,"Pour over, Espresso",,,,Pourover,,No - just black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,33,33,33,33,33,33,33,33,EPbVlL,<18 years old,,At home,Pour over,,,,Regular drip coffee,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,34,34,34,34,34,34,34,34,ylqbBg,45-54 years old,2,"At home, At the office, At a cafe, On the go","Pour over, French press, Espresso",,"Local cafe, Specialty coffee shop",,Regular drip coffee,,No - just black,,,,Floral,Medium,Light,Full caffeine,8.0,3.0,3.0,4.0,,3.0,3.0,5.0,,4.0,3.0,3.0,,5.0,2.0,3.0,,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,,Yes,Yes,$4-$6,$8-$10,No,$500-$1000,Yes,Male,,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation
35,35,35,35,35,35,35,35,35,35,vNx6A4,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,36,36,36,36,36,36,36,36,KMB2og,,,,,,,,,,No - just black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,37,37,37,37,37,37,37,37,qbEQPO,18-24 years old,3,"At the office, At home, At a cafe","Pour over, Cold brew, Other",Mokkapot,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,38,38,38,38,38,38,38,38,9dJ0O5,25-34 years old,2,"At home, At the office, At a cafe","French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other",Moka pot,,,Cortado,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,,Fruity,Somewhat strong,Light,Full caffeine,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,39,39,39,39,39,39,39,39,BGboZR,18-24 years old,3,"At home, At a cafe, On the go","Pour over, French press, Espresso, Other, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)","Aeropress, moka pot.","Local cafe, Specialty coffee shop",,Espresso,,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Whole milk,Honey,Full Bodied,Medium,Light,Full caffeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,40,40,40,40,40,40,40,40,oAVNdO,>65 years old,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Regular drip coffee,,No - just black,,,,Full Bodied,Somewhat strong,Dark,,2.0,3.0,3.0,3.0,,3.0,3.0,3.0,,4.0,3.0,,,4.0,3.0,4.0,,Coffee C,Coffee D,Coffee C,,,,,,,,,,,,,,,,,,,
41,41,41,41,41,41,41,41,41,41,YZzBdN,25-34 years old,2,"At home, At the office","Pour over, Espresso",,,,Pourover,,No - just black,,,,Floral,Medium,Light,Full caffeine,10.0,1.0,4.0,4.0,,1.0,4.0,4.0,,1.0,4.0,4.0,,2.0,4.0,4.0,,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the caffeine",,Yes,Yes,$2-$4,More than $20,Yes,$50-$100,Yes,Male,,Master's degree,Asian/Pacific Islander,,Unemployed,,Independent
42,42,42,42,42,42,42,42,42,42,VZ17Z6,35-44 years old,1,"At the office, At home",Pour over,,,,Iced coffee,,No - just black,,,,Fruity,Very strong,Light,Full caffeine,6.0,1.0,4.0,3.0,,3.0,2.0,4.0,,3.0,4.0,1.0,,1.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,It tastes good,,Yes,Yes,$10-$15,More than $20,Yes,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation
43,43,43,43,43,43,43,43,43,43,RzBeZj,45-54 years old,More than 4,At home,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Pourover,,No - just black,,,,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,2.0,3.0,4.0,,3.0,2.0,2.0,,2.0,2.0,2.0,,3.0,3.0,2.0,,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes,$10-$15,$15-$20,Yes,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation
44,44,44,44,44,44,44,44,44,44,0Ej0GZ,35-44 years old,1,"At the office, At a cafe, At home","Pour over, Espresso, Other",Aeropress,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, No - just black",,"Skim milk, Oat milk","Granulated Sugar, Brown Sugar",Nutty,Medium,Medium,Full caffeine,8.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,45,45,45,45,45,45,45,45,eBxO4l,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,46,46,46,46,46,46,46,46,WApbkQ,35-44 years old,2,"At a cafe, At home","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Whole milk,,Floral,Somewhat strong,Blonde,Full caffeine,4.0,3.0,4.0,5.0,,2.0,3.0,4.0,,2.0,3.0,4.0,,1.0,2.0,3.0,,Coffee A,Coffee A,Coffee A,I do a mix of both,$60-$80,"I need the ritual, It tastes good",,Yes,Yes,$6-$8,$4-$6,Yes,"More than $1,000",Yes,Male,,Less than high school,Black/African American,,Unemployed,2,Independent
